Md,Dd,Ld,Rd,Ad,Mr,Dr,Lr,Rr,Ar,R
0,0,0,2,0,0,0,2,0,1,178
0,0,0,2,0.5,1,0,1,0,1,83
0,0,0,2,1,0,0,1,1,0,-2834
0,0,1,1,0,0,0,1,1,0,106
0,0,1,1,0.5,0,2,0,0,1,196
0,0,1,1,1,0,0,2,0,1,596
0,0,2,0,0,2,0,0,0,1,231
0,0,2,0,0.5,0,0,2,0,1,1007
0,0,2,0,1,1,0,1,0,1,2497
0,1,0,1,0,0,2,0,0,0.5,223
0,1,0,1,0.5,1,0,1,0,1,393
0,1,0,1,1,0,2,0,0,0.5,826
0,1,1,0,0,0,0,2,0,0.5,302
0,1,1,0,0.5,2,0,0,0,1,896
0,1,1,0,1,0,2,0,0,1,1475
0,2,0,0,0,0,2,0,0,1,-32
0,2,0,0,0.5,2,0,0,0,1,722
0,2,0,0,1,2,0,0,0,1,1052
1,0,0,1,0,0,0,1,1,0,-42
1,0,0,1,0.5,0,0,2,0,1,160
1,0,0,1,1,0,0,2,0,0.5,828
1,0,1,0,0,0,0,2,0,1,-105
1,0,1,0,0.5,2,0,0,0,1,444
1,0,1,0,1,0,0,2,0,1,1347
1,1,0,0,0,0,2,0,0,1,-69
1,1,0,0,0.5,1,1,0,0,1,633
1,1,0,0,1,1,1,0,0,0.5,490
2,0,0,0,0,2,0,0,0,1,181
2,0,0,0,0.5,2,0,0,0,1,592
2,0,0,0,1,2,0,0,0,1,1658
0,0,0,3,0,0,0,2,1,1,686
0,0,0,3,0.33,0,0,3,0,1,709
0,0,0,3,1,0,0,1,2,0,-248
0,0,1,2,0,2,0,1,0,1,818
0,0,1,2,0.33,0,0,3,0,1,1090
0,0,1,2,1,0,0,1,2,0,-122
0,0,2,1,0,1,1,0,1,1,824
0,0,2,1,0.33,0,1,2,0,1,1026
0,0,2,1,1,1,1,1,0,1,2558
0,0,3,0,0,2,0,1,0,1,456
0,0,3,0,0.33,2,0,1,0,1,1412
0,0,3,0,1,1,1,1,0,1,2319
0,1,0,2,0,1,2,0,0,1,803
0,1,0,2,0.33,1,2,0,0,1,910
0,1,0,2,1,1,0,2,0,0.33,-1401
0,1,1,1,0,0,3,0,0,1,830
0,1,1,1,0.33,0,2,1,0,1,1271
0,1,1,1,1,1,2,0,0,1,2339
0,1,2,0,0,1,2,0,0,1,717
0,1,2,0,0.33,0,0,3,0,1,1232
0,1,2,0,1,1,1,1,0,1,2307
0,2,0,1,0,0,3,0,0,1,736
0,2,0,1,0.33,0,3,0,0,1,1016
0,2,0,1,1,1,2,0,0,1,2067
0,2,1,0,0,0,3,0,0,1,576
0,2,1,0,0.33,0,3,0,0,1,968
0,2,1,0,1,1,2,0,0,1,1616
0,3,0,0,0,0,3,0,0,1,561
0,3,0,0,0.33,0,3,0,0,1,765
0,3,0,0,1,3,0,0,0,1,3626
1,0,0,2,0,0,0,2,1,1,523
1,0,0,2,0.33,0,0,3,0,1,636
1,0,0,2,1,0,0,1,2,0,-1895
1,0,1,1,0,0,0,2,1,1,531
1,0,1,1,0.33,0,0,3,0,1,1007
1,0,1,1,1,0,1,2,0,1,1822
1,0,2,0,0,2,0,1,0,1,396
1,0,2,0,0.33,0,0,3,0,1,1343
1,0,2,0,1,2,0,1,0,1,2221
1,1,0,1,0,1,2,0,0,1,804
1,1,0,1,0.33,0,0,3,0,1,1213
1,1,0,1,1,1,0,2,0,1,2230
1,1,1,0,0,1,2,0,0,1,306
1,1,1,0,0.33,1,0,2,0,1,1263
1,1,1,0,1,2,0,1,0,1,1722
1,2,0,0,0,1,2,0,0,1,572
1,2,0,0,0.33,1,0,2,0,1,1399
1,2,0,0,1,2,1,0,0,1,2968
2,0,0,1,0,2,0,1,0,1,810
2,0,0,1,0.33,2,0,1,0,1,1341
2,0,0,1,1,2,0,1,0,1,1871
2,0,1,0,0,2,0,1,0,1,55
2,0,1,0,0.33,2,0,1,0,1,955
2,0,1,0,1,2,0,1,0,1,2038
2,1,0,0,0,1,2,0,0,1,354
2,1,0,0,0.33,1,0,2,0,1,1317
2,1,0,0,1,1,2,0,0,1,2836
3,0,0,0,0,2,0,1,0,1,280
3,0,0,0,0.33,2,0,1,0,1,970
3,0,0,0,1,2,1,0,0,1,1241
